date,CRV_price
2022-05-21,1.212
2022-05-22,1.273
2022-05-23,1.3
2022-05-24,1.258
2022-05-25,1.234
2022-05-26,1.208
2022-05-27,1.171
2022-05-28,1.219
2022-05-29,1.255
2022-05-30,1.387
2022-05-31,1.381
2022-06-01,1.269
2022-06-02,1.256
2022-06-03,1.172
2022-06-04,1.179
2022-06-05,1.211
2022-06-06,1.288
2022-06-07,1.188
2022-06-08,1.159
2022-06-09,1.148
2022-06-10,1.028
2022-06-11,0.91
2022-06-12,0.865
2022-06-13,0.72
2022-06-14,0.731
2022-06-15,0.767
2022-06-16,0.665
2022-06-17,0.661
2022-06-18,0.584
2022-06-19,0.646
2022-06-20,0.702
2022-06-21,0.725
2022-06-22,0.699
2022-06-23,0.83
2022-06-24,0.842
2022-06-25,0.819
2022-06-26,0.749
2022-06-27,0.736
2022-06-28,0.696
2022-06-29,0.71
2022-06-30,0.686
2022-07-01,0.746
2022-07-02,0.777
2022-07-03,0.796
2022-07-04,0.866
2022-07-05,0.956
2022-07-06,0.96
2022-07-07,1.05
2022-07-08,1.009
2022-07-09,1.015
2022-07-10,0.955
2022-07-11,0.888
2022-07-12,0.876
2022-07-13,1.049
2022-07-14,1.168
2022-07-15,1.108
2022-07-16,1.175
2022-07-17,1.079
2022-07-18,1.341
2022-07-19,1.248
2022-07-20,1.158
2022-07-21,1.405
2022-07-22,1.434
2022-07-23,1.397
2022-07-24,1.376
2022-07-25,1.177
2022-07-26,1.169
2022-07-27,1.326
2022-07-28,1.544
2022-07-29,1.425
2022-07-30,1.359
2022-07-31,1.318
2022-08-01,1.306
2022-08-02,1.335
2022-08-03,1.333
2022-08-04,1.329
2022-08-05,1.442
2022-08-06,1.374
2022-08-07,1.403
2022-08-08,1.427
2022-08-09,1.293
2022-08-10,1.389
2022-08-11,1.36
2022-08-12,1.419
2022-08-13,1.433
2022-08-14,1.388
2022-08-15,1.333
2022-08-16,1.285
2022-08-17,1.183
2022-08-18,1.115
2022-08-19,1.05
2022-08-20,0.999
2022-08-21,1.024
2022-08-22,1.1
2022-08-23,1.183
2022-08-24,1.178
2022-08-25,1.18
2022-08-26,1.054
2022-08-27,1.048
2022-08-28,0.993
2022-08-29,1.079
2022-08-30,1.063
2022-08-31,1.147
2022-09-01,1.154
2022-09-02,1.094
2022-09-03,1.073
2022-09-04,1.092
2022-09-05,1.153
2022-09-06,1.037
2022-09-07,1.167
2022-09-08,1.128
2022-09-09,1.204
2022-09-10,1.242
2022-09-11,1.183
2022-09-12,1.143
2022-09-13,1.053
2022-09-14,1.071
2022-09-15,1.053
2022-09-16,1.06
2022-09-17,1.083
2022-09-18,0.935
2022-09-19,0.982
2022-09-20,0.944
2022-09-21,0.862
2022-09-22,0.916
2022-09-23,0.943
2022-09-24,0.921
2022-09-25,0.888
2022-09-26,0.93
2022-09-27,0.915
2022-09-28,0.94
2022-09-29,0.927
2022-09-30,0.917
2022-10-01,0.891
2022-10-02,0.859
2022-10-03,0.898
2022-10-04,0.913
2022-10-05,0.907
2022-10-06,0.892
2022-10-07,0.899
2022-10-08,0.884
2022-10-09,0.882
2022-10-10,0.852
2022-10-11,0.819
2022-10-12,0.821
2022-10-13,0.8
2022-10-14,0.814
2022-10-15,0.805
2022-10-16,0.817
2022-10-17,0.89
2022-10-18,0.912
2022-10-19,0.85
2022-10-20,0.847
2022-10-21,0.894
2022-10-22,0.877
2022-10-23,0.917
2022-10-24,0.876
2022-10-25,0.906
2022-10-26,0.934
2022-10-27,0.909
2022-10-28,0.943
2022-10-29,0.935
2022-10-30,0.907
2022-10-31,0.885
2022-11-01,0.892
2022-11-02,0.866
2022-11-03,0.902
2022-11-04,1.025
2022-11-05,0.997
2022-11-06,0.948
2022-11-07,1.003
2022-11-08,0.771
2022-11-09,0.554
2022-11-10,0.688
2022-11-11,0.67
2022-11-12,0.606
2022-11-13,0.631
2022-11-14,0.61
2022-11-15,0.607
2022-11-16,0.586
2022-11-17,0.553
2022-11-18,0.553
2022-11-19,0.543
2022-11-20,0.512
2022-11-21,0.502
2022-11-22,0.633
2022-11-23,0.687
2022-11-24,0.688
2022-11-25,0.678
2022-11-26,0.703
2022-11-27,0.685
2022-11-28,0.646
2022-11-29,0.662
2022-11-30,0.671
2022-12-01,0.642
2022-12-02,0.66
2022-12-03,0.635
2022-12-04,0.67
2022-12-05,0.675
2022-12-06,0.679
2022-12-07,0.652
2022-12-08,0.667
2022-12-09,0.645
2022-12-10,0.638
2022-12-11,0.629
2022-12-12,0.619
2022-12-13,0.656
2022-12-14,0.646
2022-12-15,0.618
2022-12-16,0.546
2022-12-17,0.56
2022-12-18,0.549
2022-12-19,0.517
2022-12-20,0.528
2022-12-21,0.518
2022-12-22,0.524
2022-12-23,0.527
2022-12-24,0.524
2022-12-25,0.521
2022-12-26,0.536
2022-12-27,0.529
2022-12-28,0.509
2022-12-29,0.511
2022-12-30,0.528
2022-12-31,0.524
2023-01-01,0.527
2023-01-02,0.533
2023-01-03,0.53
2023-01-04,0.554
2023-01-05,0.543
2023-01-06,0.546
2023-01-07,0.55
2023-01-08,0.577
2023-01-09,0.641
2023-01-10,0.65
2023-01-11,0.671
2023-01-12,0.686
2023-01-13,0.804
2023-01-14,0.812
2023-01-15,0.832
2023-01-16,0.879
2023-01-17,0.91
2023-01-18,0.893
2023-01-19,0.899
2023-01-20,1.031
2023-01-21,0.996
2023-01-22,1.072
2023-01-23,1.067
2023-01-24,0.996
2023-01-25,1.031
2023-01-26,1.049
2023-01-27,1.132
2023-01-28,1.072
2023-01-29,1.088
2023-01-30,0.993
2023-01-31,1.019
2023-02-01,1.111
2023-02-02,1.061
2023-02-03,1.114
2023-02-04,1.109
2023-02-05,1.053
2023-02-06,1.046
2023-02-07,1.09
2023-02-08,1.14
2023-02-09,0.973
2023-02-10,0.96
2023-02-11,0.958
2023-02-12,0.928
2023-02-13,1.054
2023-02-14,1.078
2023-02-15,1.146
2023-02-16,1.095
2023-02-17,1.216
2023-02-18,1.253
2023-02-19,1.204
2023-02-20,1.269
2023-02-21,1.162
2023-02-22,1.108
2023-02-23,1.079
2023-02-24,0.997
2023-02-25,0.987
2023-02-26,1.021
2023-02-27,1.016
2023-02-28,0.994
2023-03-01,1.033
2023-03-02,0.99
2023-03-03,0.935
2023-03-04,0.909
2023-03-05,0.93
2023-03-06,0.948
2023-03-07,0.973
2023-03-08,0.89
2023-03-09,0.839
2023-03-10,0.887
2023-03-11,0.86
2023-03-12,0.951
2023-03-13,0.977
2023-03-14,0.988
2023-03-15,0.89
2023-03-16,0.911
2023-03-17,1.003
2023-03-18,0.986
2023-03-19,1.018
2023-03-20,0.962
2023-03-21,0.995
2023-03-22,0.94
2023-03-23,0.967
2023-03-24,0.906
2023-03-25,0.917
2023-03-26,0.932
2023-03-27,0.89
2023-03-28,0.919
2023-03-29,0.941
2023-03-30,0.922
2023-03-31,0.936
2023-04-01,0.924
2023-04-02,0.907
2023-04-03,0.924
2023-04-04,0.995
2023-04-05,1.003
2023-04-06,1.009
2023-04-07,1.021
2023-04-08,1.024
2023-04-09,1.012
2023-04-10,1.029
2023-04-11,1.018
2023-04-12,1.028
2023-04-13,1.065
2023-04-14,1.09
2023-04-15,1.093
2023-04-16,1.103
2023-04-17,1.05
2023-04-18,1.073
2023-04-19,0.957
2023-04-20,0.944
2023-04-21,0.922
2023-04-22,0.937
2023-04-23,0.945
2023-04-24,0.927
2023-04-25,0.94
2023-04-26,0.919
2023-04-27,0.945
2023-04-28,0.924
2023-04-29,0.93
2023-04-30,0.908
2023-05-01,0.883
2023-05-02,0.904
2023-05-03,0.968
2023-05-04,0.928
2023-05-05,0.953
2023-05-06,0.901
2023-05-07,0.887
2023-05-08,0.832
2023-05-09,0.837
2023-05-10,0.839
2023-05-11,0.799
2023-05-12,0.815
2023-05-13,0.803
2023-05-14,0.806
2023-05-15,0.827
2023-05-16,0.83
2023-05-17,0.832
2023-05-18,0.827
2023-05-19,0.829
2023-05-20,0.829
2023-05-21,0.835
2023-05-22,0.85
2023-05-23,0.863
2023-05-24,0.829
2023-05-25,0.823
2023-05-26,0.853
2023-05-27,0.848
2023-05-28,0.86
2023-05-29,0.854
2023-05-30,0.836
2023-05-31,0.817
2023-06-01,0.812
2023-06-02,0.853
2023-06-03,0.851
2023-06-04,0.848
2023-06-05,0.774
2023-06-06,0.801
2023-06-07,0.755
2023-06-08,0.76
2023-06-09,0.758
2023-06-10,0.671
2023-06-11,0.67
2023-06-12,0.635
2023-06-13,0.65
2023-06-14,0.569
2023-06-15,0.607
2023-06-16,0.622
2023-06-17,0.62
2023-06-18,0.623
2023-06-19,0.632
2023-06-20,0.663
2023-06-21,0.688
2023-06-22,0.669
2023-06-23,0.692
2023-06-24,0.67
2023-06-25,0.703
2023-06-26,0.679
2023-06-27,0.692
2023-06-28,0.66
2023-06-29,0.709
2023-06-30,0.761
2023-07-01,0.778
2023-07-02,0.764
2023-07-03,0.784
2023-07-04,0.806
2023-07-05,0.781
2023-07-06,0.725
2023-07-07,0.788
2023-07-08,0.78
2023-07-09,0.798
2023-07-10,0.806
2023-07-11,0.793
2023-07-12,0.786
2023-07-13,0.843
2023-07-14,0.821
2023-07-15,0.821
2023-07-16,0.807
2023-07-17,0.81
2023-07-18,0.784
2023-07-19,0.777
2023-07-20,0.787
2023-07-21,0.77
2023-07-22,0.752
2023-07-23,0.758
2023-07-24,0.729
2023-07-25,0.726
2023-07-26,0.73
2023-07-27,0.73
2023-07-28,0.729
2023-07-29,0.737
2023-07-30,0.632
2023-07-31,0.567
2023-08-01,0.615
2023-08-02,0.583
2023-08-03,0.581
2023-08-04,0.612
2023-08-05,0.621
2023-08-06,0.611
2023-08-07,0.614
2023-08-08,0.601
2023-08-09,0.614
2023-08-10,0.609
2023-08-11,0.596
2023-08-12,0.585
2023-08-13,0.577
2023-08-14,0.581
2023-08-15,0.555
2023-08-16,0.541
2023-08-17,0.4944
2023-08-18,0.495
2023-08-19,0.5031
2023-08-20,0.4989
2023-08-21,0.4782
2023-08-22,0.4752
2023-08-23,0.468
2023-08-24,0.4544
2023-08-25,0.4551
2023-08-26,0.4526
2023-08-27,0.4602
2023-08-28,0.4867
2023-08-29,0.4836
2023-08-30,0.4737
2023-08-31,0.4528
2023-09-01,0.4384
2023-09-02,0.4375
2023-09-03,0.4344
2023-09-04,0.4368
2023-09-05,0.444
2023-09-06,0.451
2023-09-07,0.447
2023-09-08,0.4413
2023-09-09,0.4431
2023-09-10,0.4272
2023-09-11,0.4081
2023-09-12,0.4016
2023-09-13,0.4173
2023-09-14,0.4196
2023-09-15,0.4357
2023-09-16,0.4379
2023-09-17,0.4316
2023-09-18,0.425
2023-09-19,0.444
2023-09-20,0.4419
2023-09-21,0.4443
2023-09-22,0.4909
2023-09-23,0.4742
2023-09-24,0.5147
2023-09-25,0.5214
2023-09-26,0.5236
2023-09-27,0.5171
2023-09-28,0.5164
2023-09-29,0.5222
2023-09-30,0.5195
2023-10-01,0.5381
2023-10-02,0.4991
2023-10-03,0.4875
2023-10-04,0.4822
2023-10-05,0.4671
2023-10-06,0.4732
2023-10-07,0.472
2023-10-08,0.4739
2023-10-09,0.4491
2023-10-10,0.435
2023-10-11,0.4342
2023-10-12,0.4241
2023-10-13,0.4415
2023-10-14,0.4371
2023-10-15,0.4401
2023-10-16,0.4472
2023-10-17,0.4332
2023-10-18,0.4243
2023-10-19,0.4141
2023-10-20,0.4205
2023-10-21,0.4397
2023-10-22,0.451
2023-10-23,0.4718
2023-10-24,0.4791
2023-10-25,0.4785
2023-10-26,0.4774
2023-10-27,0.4656
2023-10-28,0.4807
2023-10-29,0.493
2023-10-30,0.4881
2023-10-31,0.4794
2023-11-01,0.521
2023-11-02,0.5096
2023-11-03,0.533
2023-11-04,0.5535
2023-11-05,0.565
2023-11-06,0.5744
2023-11-07,0.5575
2023-11-08,0.5692
2023-11-09,0.5504
2023-11-10,0.603
2023-11-11,0.6235
2023-11-12,0.6305
2023-11-13,0.5755
2023-11-14,0.5726
2023-11-15,0.6113
2023-11-16,0.5716
2023-11-17,0.569
2023-11-18,0.5623
2023-11-19,0.5746
2023-11-20,0.5677
2023-11-21,0.5201
2023-11-22,0.5842
2023-11-23,0.5777
2023-11-24,0.5895
2023-11-25,0.598
2023-11-26,0.5803
2023-11-27,0.5586
2023-11-28,0.5619
2023-11-29,0.5497
2023-11-30,0.5583
2023-12-01,0.5717
2023-12-02,0.6086
2023-12-03,0.6025
2023-12-04,0.6053
2023-12-05,0.6304
2023-12-06,0.6042
2023-12-07,0.6463
2023-12-08,0.6876
2023-12-09,0.6736
2023-12-10,0.7197
2023-12-11,0.6549
2023-12-12,0.6453
2023-12-13,0.6406
2023-12-14,0.6464
2023-12-15,0.6322
2023-12-16,0.6373
2023-12-17,0.6579
2023-12-18,0.6192
2023-12-19,0.5793
2023-12-20,0.5817
2023-12-21,0.5982
2023-12-22,0.6158
2023-12-23,0.618
2023-12-24,0.618
2023-12-25,0.6441
2023-12-26,0.6346
2023-12-27,0.6723
2023-12-28,0.7006
2023-12-29,0.6273
2023-12-30,0.6225
2023-12-31,0.6053
2024-01-01,0.6295
2024-01-02,0.6288
2024-01-03,0.5781
2024-01-04,0.5826
2024-01-05,0.5755
2024-01-06,0.5448
2024-01-07,0.5176
2024-01-08,0.5484
2024-01-09,0.5213
2024-01-10,0.5648
2024-01-11,0.5843
2024-01-12,0.5509
2024-01-13,0.5594
2024-01-14,0.5319
2024-01-15,0.5403
2024-01-16,0.551
2024-01-17,0.5414
2024-01-18,0.5103
2024-01-19,0.5309
2024-01-20,0.5276
2024-01-21,0.5357
2024-01-22,0.4999
2024-01-23,0.4691
2024-01-24,0.4478
2024-01-25,0.4529
2024-01-26,0.4623
2024-01-27,0.4783
2024-01-28,0.4686
2024-01-29,0.4803
2024-01-30,0.4778
2024-01-31,0.4545
2024-02-01,0.4458
2024-02-02,0.4621
2024-02-03,0.4766
2024-02-04,0.4526
2024-02-05,0.469
2024-02-06,0.4664
2024-02-07,0.485
2024-02-08,0.4802
2024-02-09,0.5019
2024-02-10,0.4934
2024-02-11,0.4906
2024-02-12,0.5204
2024-02-13,0.5107
2024-02-14,0.5237
2024-02-15,0.5411
2024-02-16,0.542
2024-02-17,0.5279
2024-02-18,0.5383
2024-02-19,0.5628
2024-02-20,0.5586
2024-02-21,0.5488
2024-02-22,0.5509
2024-02-23,0.5919
2024-02-24,0.6002
2024-02-25,0.5982
2024-02-26,0.5972
2024-02-27,0.5933
2024-02-28,0.5981
2024-02-29,0.599
2024-03-01,0.6522
2024-03-02,0.6895
2024-03-03,0.6679
2024-03-04,0.7724
2024-03-05,0.6729
2024-03-06,0.8
2024-03-07,0.7921
2024-03-08,0.7627
2024-03-09,0.7817
2024-03-10,0.819
2024-03-11,0.8561
2024-03-12,0.8304
2024-03-13,0.8629
2024-03-14,0.8314
2024-03-15,0.7719
2024-03-16,0.6926
2024-03-17,0.6897
2024-03-18,0.6557
2024-03-19,0.6034
2024-03-20,0.6714
2024-03-21,0.6746
2024-03-22,0.6688
2024-03-23,0.6649
2024-03-24,0.6812
2024-03-25,0.7072
2024-03-26,0.7134
2024-03-27,0.6941
2024-03-28,0.7015
2024-03-29,0.7074
2024-03-30,0.6833
2024-03-31,0.6939
2024-04-01,0.6548
2024-04-02,0.6074
2024-04-03,0.6029
2024-04-04,0.6275
2024-04-05,0.6154
2024-04-06,0.6221
2024-04-07,0.636
2024-04-08,0.6547
2024-04-09,0.6209
2024-04-10,0.6175
2024-04-11,0.6041
2024-04-12,0.4805
2024-04-13,0.4228
2024-04-14,0.453
2024-04-15,0.428
2024-04-16,0.432
2024-04-17,0.4253
2024-04-18,0.4323
2024-04-19,0.4327
2024-04-20,0.4624
2024-04-21,0.4536
2024-04-22,0.4672
2024-04-23,0.4625
2024-04-24,0.437
2024-04-25,0.4418
2024-04-26,0.4395
2024-04-27,0.4445
2024-04-28,0.4398
2024-04-29,0.4344
2024-04-30,0.4091
2024-05-01,0.4192
2024-05-02,0.4237
2024-05-03,0.4395
2024-05-04,0.4376
2024-05-05,0.447
2024-05-06,0.4331
2024-05-07,0.4233
2024-05-08,0.4408
2024-05-09,0.4463
2024-05-10,0.4219
2024-05-11,0.4228
2024-05-12,0.4189
2024-05-13,0.4155
2024-05-14,0.4003
2024-05-15,0.4229
2024-05-16,0.4205
2024-05-17,0.4305
2024-05-18,0.4354
2024-05-19,0.4194
2024-05-20,0.463
2024-05-21,0.4824
2024-05-22,0.4676
2024-05-23,0.4625
2024-05-24,0.4929
2024-05-25,0.4969
2024-05-26,0.4808
2024-05-27,0.4967
2024-05-28,0.4904
2024-05-29,0.4819
2024-05-30,0.4687
2024-05-31,0.4622
2024-06-01,0.4709
2024-06-02,0.4533
2024-06-03,0.4557
2024-06-04,0.4646
2024-06-05,0.4722
2024-06-06,0.4607
2024-06-07,0.42
2024-06-08,0.4004
2024-06-09,0.417
2024-06-10,0.3827
2024-06-11,0.3509
2024-06-12,0.3605
2024-06-13,0.2867
2024-06-14,0.2831
2024-06-15,0.3123
2024-06-16,0.3292
2024-06-17,0.3154
2024-06-18,0.3345
2024-06-19,0.3254
2024-06-20,0.3444
2024-06-21,0.328
2024-06-22,0.3435
2024-06-23,0.3343
2024-06-24,0.3268
2024-06-25,0.3244
2024-06-26,0.2977
2024-06-27,0.2914
2024-06-28,0.2793
2024-06-29,0.2757
2024-06-30,0.2856
2024-07-01,0.2829
2024-07-02,0.2851
2024-07-03,0.2717
2024-07-04,0.2425
2024-07-05,0.2361
2024-07-06,0.2651
2024-07-07,0.2546
2024-07-08,0.2882
2024-07-09,0.2842
2024-07-10,0.2928
2024-07-11,0.2676
2024-07-12,0.2811
2024-07-13,0.2897
2024-07-14,0.2859
2024-07-15,0.305
2024-07-16,0.2879
2024-07-17,0.283
2024-07-18,0.2777
2024-07-19,0.298
2024-07-20,0.2929
2024-07-21,0.2905
2024-07-22,0.271
2024-07-23,0.2727
2024-07-24,0.26
2024-07-25,0.2526
2024-07-26,0.2666
2024-07-27,0.268
2024-07-28,0.2635
2024-07-29,0.259
2024-07-30,0.257
2024-07-31,0.2608
2024-08-01,0.2865
2024-08-02,0.2905
2024-08-03,0.2528
2024-08-04,0.2448
2024-08-05,0.2091
2024-08-06,0.2288
2024-08-07,0.2324
2024-08-08,0.2558
2024-08-09,0.252
2024-08-10,0.2567
2024-08-11,0.2456
2024-08-12,0.3036
2024-08-13,0.3062
2024-08-14,0.324
2024-08-15,0.3168
2024-08-16,0.3297
2024-08-17,0.3149
2024-08-18,0.3085
2024-08-19,0.3036
2024-08-20,0.3303
2024-08-21,0.3365
2024-08-22,0.3269
2024-08-23,0.3397
2024-08-24,0.3513
2024-08-25,0.334
2024-08-26,0.3143
2024-08-27,0.2954
2024-08-28,0.2928
2024-08-29,0.2894
2024-08-30,0.2928
2024-08-31,0.2832
2024-09-01,0.2654
2024-09-02,0.2802
2024-09-03,0.2616
2024-09-04,0.2909
2024-09-05,0.2791
2024-09-06,0.2614
2024-09-07,0.2569
2024-09-08,0.2759
2024-09-09,0.2825
2024-09-10,0.2798
2024-09-11,0.2753
2024-09-12,0.284
2024-09-13,0.284
2024-09-14,0.2752
2024-09-15,0.2649
2024-09-16,0.2631
2024-09-17,0.2698
2024-09-18,0.2837
2024-09-19,0.2789
2024-09-20,0.3067
2024-09-21,0.298
2024-09-22,0.2962
2024-09-23,0.2964
2024-09-24,0.3062
2024-09-25,0.3028
2024-09-26,0.3
2024-09-27,0.3188
2024-09-28,0.3059
2024-09-29,0.2996
2024-09-30,0.2773
2024-10-01,0.259
2024-10-02,0.2537
2024-10-03,0.2593
2024-10-04,0.2588
2024-10-05,0.2534
2024-10-06,0.2601
2024-10-07,0.2559
2024-10-08,0.2528
2024-10-09,0.2575
2024-10-10,0.2586
2024-10-11,0.2587
2024-10-12,0.2603
2024-10-13,0.2573
2024-10-14,0.2687
2024-10-15,0.2624
2024-10-16,0.2574
2024-10-17,0.2593
2024-10-18,0.2652
2024-10-19,0.2681
2024-10-20,0.2759
2024-10-21,0.2634
2024-10-22,0.2596
2024-10-23,0.2535
2024-10-24,0.2502
2024-10-25,0.2357
2024-10-26,0.2403
2024-10-27,0.2427
2024-10-28,0.2443
2024-10-29,0.2598
2024-10-30,0.2594
2024-10-31,0.2529
2024-11-01,0.248
2024-11-02,0.2379
2024-11-03,0.2302
2024-11-04,0.2246
2024-11-05,0.237
2024-11-06,0.2584
2024-11-07,0.2619
2024-11-08,0.2708
2024-11-09,0.2767
2024-11-10,0.2845
2024-11-11,0.2945
2024-11-12,0.2769
2024-11-13,0.3147
2024-11-14,0.2896
2024-11-15,0.2903
2024-11-16,0.336
2024-11-17,0.32
2024-11-18,0.3748
2024-11-19,0.4082
2024-11-20,0.3739
2024-11-21,0.4051
2024-11-22,0.4726
2024-11-23,0.4949
2024-11-24,0.5081
2024-11-25,0.5178
2024-11-26,0.482
2024-11-27,0.5083
2024-11-28,0.4958
2024-11-29,0.5415
2024-11-30,0.6813
2024-12-01,0.6708
2024-12-02,0.731
2024-12-03,0.8773
2024-12-04,1.0917
2024-12-05,1.0564
2024-12-06,1.2484
2024-12-07,1.1748
2024-12-08,1.2032
2024-12-09,1.0589
2024-12-10,1.0705
2024-12-11,1.133
2024-12-12,1.1943
2024-12-13,1.1386
2024-12-14,1.1436
2024-12-15,1.129
2024-12-16,1.0719
2024-12-17,1.1035
2024-12-18,0.9527
2024-12-19,0.8408
2024-12-20,0.8343
2024-12-21,0.7912
2024-12-22,0.8197
2024-12-23,0.9533
2024-12-24,1.0142
2024-12-25,1.0236
2024-12-26,0.9495
2024-12-27,0.9011
2024-12-28,1.0202
2024-12-29,0.9487
2024-12-30,0.931
2024-12-31,0.8942
2025-01-01,0.958
2025-01-02,1.0093
2025-01-03,1.085
2025-01-04,1.0473
2025-01-05,1.0269
2025-01-06,0.9972
2025-01-07,0.892
2025-01-08,0.8585
2025-01-09,0.8086
2025-01-10,0.8262
2025-01-11,0.8472
2025-01-12,0.8197
2025-01-13,0.8117
2025-01-14,0.8648
2025-01-15,0.9613
2025-01-16,0.9318
2025-01-17,1.0432
2025-01-18,0.9187
2025-01-19,0.8153
2025-01-20,0.8523
2025-01-21,0.8572
2025-01-22,0.7877
2025-01-23,0.7934
2025-01-24,0.7952
2025-01-25,0.797
2025-01-26,0.7676
2025-01-27,0.7402
2025-01-28,0.6761
2025-01-29,0.7003
2025-01-30,0.7853
2025-01-31,0.7814
2025-02-01,0.6863
2025-02-02,0.5554
2025-02-03,0.5772
2025-02-04,0.524
2025-02-05,0.5132
2025-02-06,0.4705
2025-02-07,0.4773
2025-02-08,0.5107
2025-02-09,0.5261
2025-02-10,0.5334
2025-02-11,0.5322
2025-02-12,0.556
2025-02-13,0.5296
2025-02-14,0.5279
2025-02-15,0.5114
2025-02-16,0.5099
2025-02-17,0.5169
2025-02-18,0.496
2025-02-19,0.5156
2025-02-20,0.5322
2025-02-21,0.4984
2025-02-22,0.5041
2025-02-23,0.5091
2025-02-24,0.4353
2025-02-25,0.455
2025-02-26,0.4624
2025-02-27,0.4538
2025-02-28,0.4501
2025-03-01,0.436
2025-03-02,0.5007
2025-03-03,0.4135
2025-03-04,0.4182
2025-03-05,0.437
2025-03-06,0.4197
2025-03-07,0.4286
2025-03-08,0.4271
2025-03-09,0.3768
2025-03-10,0.366
2025-03-11,0.4013
2025-03-12,0.4063
2025-03-13,0.3941
2025-03-14,0.4098
2025-03-15,0.4194
2025-03-16,0.4114
2025-03-17,0.433
2025-03-18,0.4501
2025-03-19,0.468
2025-03-20,0.4404
2025-03-21,0.4396
2025-03-22,0.4915
2025-03-23,0.5031
2025-03-24,0.5092
2025-03-25,0.5016
2025-03-26,0.5491
2025-03-27,0.5799
2025-03-28,0.5035
2025-03-29,0.4892
2025-03-30,0.4684
2025-03-31,0.5025
2025-04-01,0.539
2025-04-02,0.4909
2025-04-03,0.5207
2025-04-04,0.5009
2025-04-05,0.4955
2025-04-06,0.4214
2025-04-07,0.4594
2025-04-08,0.4539
2025-04-09,0.5215
2025-04-10,0.5594
2025-04-11,0.6066
2025-04-12,0.6241
2025-04-13,0.5999
2025-04-14,0.5871
2025-04-15,0.584
2025-04-16,0.6309
2025-04-17,0.6017
2025-04-18,0.5961
2025-04-19,0.6125
2025-04-20,0.6
2025-04-21,0.5891
2025-04-22,0.6872
2025-04-23,0.6542
2025-04-24,0.6803
2025-04-25,0.6756
2025-04-26,0.6696
2025-04-27,0.6544
2025-04-28,0.6473
2025-04-29,0.6467
2025-04-30,0.7131
2025-05-01,0.7345
